variable_code,variable_name,unit,variable_type,variable_subtype,valence,flux_convertible
MLW_Zn,Moss: Liverwort: Zinc,%,bio,Other,NA,0
Mn,Manganese,mg/L,chem_discrete,Cations,3,1
Mo,Molybdenum,mg/L,chem_discrete,Cations,NA,1
MS_Al,Moss: Schistidium: Aluminum,%,bio,Other,NA,0
MS_B,Moss: Schistidium: Boron,%,bio,Other,NA,0
MS_C,Moss: Schistidium: Carbon,%,bio,Other,NA,0
MS_Ca,Moss: Schistidium: Calcium,%,bio,Other,NA,0
MS_Cu,Moss: Schistidium: Copper,%,bio,Other,NA,0
MS_Fe,Moss: Schistidium: Iron,%,bio,Other,NA,0
MS_K,Moss: Schistidium: Potassium,%,bio,Other,NA,0
MS_Mg,Moss: Schistidium: Magnesium,%,bio,Other,NA,0
MS_Mn,Moss: Schistidium: Manganese,%,bio,Other,NA,0
MS_N,Moss: Schistidium: Nitrogen,%,bio,Other,NA,0
MS_Na,Moss: Schistidium: Sodium,%,bio,Other,NA,0
MS_P,Moss: Schistidium: Phosphorus,%,bio,Other,NA,0
MS_S,Moss: Schistidium: Sulfur,%,bio,Other,NA,0
MS_Zn,Moss: Schistidium: Zinc,%,bio,Other,NA,0
N2O,Nitrous Oxide,ppm,gas_PENDING,Other,NA,0
Na,Sodium,mg/L,chem_discrete,Cations,1,1
Nb,Niobium,mg/L,chem_discrete,Other,NA,1
Nd,Neodymium,mg/L,chem_discrete,Cations,NA,1
Nd145,Neodymium-145,mg/L,chem_discrete,Cations,NA,1
NH3_N,Ammonia-N,mg/L,chem_discrete,Cations,3,1
NH4,Ammonium,mg/L,chem_discrete,Cations,1,1
NH4_N,Ammonium-N,mg/L,chem_discrete,Cations,1,1
NH4_NH3_N,Ammonia-N and Ammonium-N,mg/L,chem_mix,Cations,NA,1
Ni,Nickel,mg/L,chem_discrete,Other,2,1
Ni60,Nickel-60,mg/L,chem_discrete,Other,2,1
NO2,Nitrite,mg/L,chem_discrete,Anions,1,1
NO2_N,Nitrite-N,mg/L,chem_discrete,Other,1,1
NO3,Nitrate,mg/L,chem_discrete,Anions,1,1
NO3_N,Nitrate-N,mg/L,chem_discrete,Anions,1,1
NO3_NO2,Nitrate and nitrite,mg/L,chem_mix,Other,1,1
NO3_NO2_N,Nitrate-N and nitrite-N,mg/L,chem_mix,Other,1,1
OMAl,Aluminum OM,mg/L,chem_discrete,Other,3,1
Os,Osmium,mg/L,chem_discrete,Other,NA,1
