prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
1596,discharge,ready,ready,NA,NA,NA,1994_Toolik_Inlet_Kling_csv
1596,stream_chemistry,ready,ready,NA,NA,NA,1994_Toolik_Inlet_Kling_csv
1597,discharge,ready,ready,NA,NA,NA,1995_Toolik_Inlet_Kling_csv
1597,stream_chemistry,ready,ready,NA,NA,NA,1995_Toolik_Inlet_Kling_csv
1598,discharge,ready,ready,NA,NA,NA,1996_Toolik_Inlet_Kling_csv
1598,stream_chemistry,ready,ready,NA,NA,NA,1996_Toolik_Inlet_Kling_csv
1599,discharge,ready,ready,NA,NA,NA,1997_Toolik_Inlet_Kling_csv
1599,stream_chemistry,ready,ready,NA,NA,NA,1997_Toolik_Inlet_Kling_csv
1600,discharge,ready,ready,NA,NA,NA,1998_Toolik_Inlet_Kling_csv
1600,stream_chemistry,ready,ready,NA,NA,NA,1998_Toolik_Inlet_Kling_csv
1601,discharge,ready,ready,NA,NA,NA,1999_Toolik_Inlet_Kling_csv
1601,stream_chemistry,ready,ready,NA,NA,NA,1999_Toolik_Inlet_Kling_csv
1589,discharge,ready,ready,NA,NA,NA,2000_Toolik_Inlet_Kling_csv
1589,stream_chemistry,ready,ready,NA,NA,NA,2000_Toolik_Inlet_Kling_csv
1590,discharge,ready,ready,NA,NA,NA,2001_Toolik_Inlet_Kling_csv
1590,stream_chemistry,ready,ready,NA,NA,NA,2001_Toolik_Inlet_Kling_csv
1591,discharge,ready,ready,NA,NA,NA,2002_Toolik_Inlet_Kling_csv
1591,stream_chemistry,ready,ready,NA,NA,NA,2002_Toolik_Inlet_Kling_csv
1592,discharge,ready,ready,NA,NA,NA,2003_Toolik_Inlet_Kling_csv
1592,stream_chemistry,ready,ready,NA,NA,NA,2003_Toolik_Inlet_Kling_csv
1645,discharge,ready,ready,NA,NA,NA,2004_Toolik_Inlet_Kling_csv
1645,stream_chemistry,ready,ready,NA,NA,NA,2004_Toolik_Inlet_Kling_csv
1644,discharge,ready,ready,NA,NA,NA,2005_Toolik_Inlet_Kling_csv
1644,stream_chemistry,ready,ready,NA,NA,NA,2005_Toolik_Inlet_Kling_csv
